2026-05-01 17:03:42 | INFO     | cli | Logger initialised → logs\cli_20260501.log
2026-05-01 17:04:21 | INFO     | cli | Logger initialised → logs\cli_20260501.log
2026-05-01 17:04:43 | INFO     | cli | Logger initialised → logs\cli_20260501.log
2026-05-01 17:05:03 | INFO     | cli | Logger initialised → logs\cli_20260501.log
2026-05-01 17:05:03 | ERROR    | cli | Validation error: Quantity must be greater than 0. Got: -1.0.
2026-05-01 17:05:16 | INFO     | cli | Logger initialised → logs\cli_20260501.log
2026-05-01 17:05:16 | ERROR    | cli | Validation error: Price is required for LIMIT orders.
2026-05-01 17:05:27 | INFO     | cli | Logger initialised → logs\cli_20260501.log
2026-05-01 17:05:28 | ERROR    | cli | API error: Binance API error -1121: Invalid symbol.
2026-05-01 17:05:49 | INFO     | cli | Logger initialised → logs\cli_20260501.log
2026-05-01 17:17:55 | INFO     | cli | Logger initialised → logs\cli_20260501.log
